variant_id,stop_id
853476,812
853476,3861
853476,4458
853476,4115
853476,4709
853476,4481
853476,4678
853476,4461
853476,4746
856825,5462
856825,2855
857856,812
857856,3861
857856,4458
857856,4115
857856,4459
857856,4746
857892,5608
857892,149
857892,912
857893,148
857893,5609
857893,4144
857894,115
857894,4803
857894,981
857894,2482
857894,73
857894,5609
857895,5609
858690,2714
858690,5608
858690,149
858690,912
859948,3134
859948,481
859948,3891
859948,5625
862436,1542
862581,1635
862581,4685
862581,1544
862581,3523
862581,1418
862581,2031
862936,2528
862936,2036
862936,353
862936,4284
862936,4286
862938,812
862938,3861
862938,4458
862938,4115
862938,4709
862938,4481
862938,4678
862938,4461
862938,4746
862938,4711
863606,1601
863645,1497
863645,2818
863731,1901
863731,604
863731,708
863731,711
863731,3422
864247,5608
864247,895
864250,1015
864250,5609
864752,1819
865034,3884
865034,3415
865034,2828
865034,707
865034,603
865034,1900
865034,4892
865103,116
865103,5424
865103,1142
865103,665
865190,5626
865190,2861
865190,1149
865815,1015
865815,5609
865820,2714
865820,5608
865820,149
865821,153
865821,148
865822,115
865822,4803
865822,981
865822,2482
865822,73
865823,981
865823,2482
865823,73
865835,5608
865835,149
865835,153
865849,5608
865849,2251
865849,895
866131,760
866131,757
866131,1230
866131,2711
866131,3415
866131,707
866131,603
866508,2820
866508,1496
866508,1604
866602,812
866602,3861
866602,4458
866602,4434
866602,4463
866624,5608
866624,72
866624,1125
866624,4804
866624,114
866625,5609
866625,4201
866631,153
866631,148
866631,5609
866632,115
866632,4803
866632,981
866632,2482
866632,73
866632,5609
866633,981
866633,2482
866633,73
866633,5609
866935,760
866935,757
866935,1230
866935,2711
866935,3419
866935,5636
866935,2375
866959,148
866959,5609
867067,103
867067,799
867067,1125
867067,3762
867067,114
867067,5154
867067,4748
867132,812
867132,403
867181,3422
867276,5218
867276,5221
867276,5705
867276,5692
867298,3908
867298,1398
867298,3522
867298,1418
867298,2031
867298,1868
867315,1868
867322,1573
867322,1501
867322,1580
867322,1419
867322,1547
867327,1541
867357,2741
867357,1581
867357,1502
867357,1572
867385,1587
867440,1897
867440,2034
867440,1417
867440,5437
867440,1541
867440,4684
867440,4572
867546,539
867546,527
867741,4250
867741,1581
867741,1502
867741,1572
867876,4652
867876,637
867908,1901
868565,376
868565,1817
868565,5571
868565,388
868588,526
868588,538
868604,526
868604,538
868606,1901
868606,604
868606,708
868606,711
868606,3422
868663,1901
868663,613
868663,3895
868717,3762
868718,665
868737,5296
868737,271
868737,281
868737,3782
868737,5571
868760,1160
868791,4652
868794,3134
868858,576
868877,5636
868877,2506
868877,3422
868877,2013
868878,604
868878,708
868878,3422
868879,5700
868879,5220
868929,1782
868929,638
868929,3124
868929,691
869131,582
869131,5761
869131,575
869131,4892
869202,582
869202,5761
869202,575
869202,613
869352,1398
869352,3522
869352,1418
869352,2033
869352,1628
869371,1751
869371,1868
869375,3522
869375,1419
869375,1471
869375,4899
869377,4250
869377,1581
869377,1502
869377,1572
869379,1542
869388,1603
869388,1497
869388,2818
869426,1773
869426,1586
869452,1407
869452,1532
869452,2818
869454,4250
869454,1581
869454,1502
869454,1572
869520,637
869520,668
869520,2172
869550,576
869550,5761
869550,1189
869550,935
869550,707
869550,613
869550,4652
869550,637
869550,644
869618,1817
869618,5626
869618,1963
869618,2855
869657,1901
869657,604
869657,708
869657,711
869657,3422
869657,4431
869657,4523
869657,2245
869657,3641
869657,4254
869660,3720
869660,4529
869660,3600
869660,3603
869660,3596
869660,3598
869660,5627
869660,2506
869660,3415
869660,2828
869660,707
869660,1819
869677,638
869677,3124
869677,687
869677,2056
869677,5110
869678,686
869678,3123
869678,636
869686,1782
869686,638
869686,3124
869686,691
869686,5599
869686,4445
869708,4700
869708,3537
869708,638
869708,4646
869708,46
869708,5363
869708,3650
869708,3036
869708,1979
869708,3669
869708,1702
869708,3706
869708,3588
869708,3666
869708,3722
869745,1751
869745,1868
869746,1548
869746,1420
869746,5437
869746,1541
869747,1497
869747,2818
869747,1534
869747,1418
869747,2031
869754,1603
869754,1497
869754,2818
869754,1534
869754,1418
869754,2033
869754,1750
869763,1750
869770,1573
869770,1501
869770,1580
869770,1418
869776,1548
869776,1420
869776,5437
869788,1868
869830,1751
869830,1709
869830,2031
869831,1603
869831,1497
869831,2818
869831,1534
869831,1418
869831,2031
869862,3522
869862,1418
869862,2031
869862,1495
869874,1160
869874,212
869874,2479
869874,115
869937,115
869938,1160
869938,212
869938,2479
869938,115
869938,3130
869938,5408
869939,665
869970,1901
869970,613
869973,4652
870020,5571
870020,3890
870020,480
870024,5296
870078,5432
870127,5475
870127,179
870136,5475
870136,179
870136,4387
870136,4490
870218,5587
870218,4400
870218,2665
870218,4280
870218,1934
870218,4278
870218,4754
